QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
3,7,1,11,4.0,34.0,6.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,3,22,51.0,41.0,4.0,6,1.0,13.0,0.0,4.0,0.0,38.0,0.0,0.0,0.0,0.0
3,7,7,0,16.0,12.0,3.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,1,11,1.0,24.0,8.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,1,22,-4.0,24.0,11.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0
3,7,3,11,32.0,20.0,8.0,19,1.0,0.0,0.0,0.0,0.0,24.0,1.0,35.0,1.0,25.0
3,8,7,6,-3.0,26.0,10.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
4,10,5,8,113.0,19.0,6.0,16,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,1,9,-8.0,35.0,4.0,17,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,2.0,12.0
4,11,5,22,36.0,29.0,9.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,22,-10.0,18.0,17.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,3,11,94.0,50.0,5.0,19,1.0,54.0,0.0,6.0,0.0,40.0,0.0,0.0,0.0,0.0
2,5,4,13,80.0,43.0,40.0,22,1.0,0.0,0.0,49.0,0.0,80.0,3.0,47.0,0.0,5.0
