"Facility","Date","Hour","ScheduledDepartures","DeparturesFor MetricComputation","DelayedGateDepartures","% DelayedGateDepartures","AverageMinutesOf DelayPer DelayedGateDeparture","ScheduledArrivals","ArrivalsFor MetricComputation","DelayedGateArrivals","% DelayedGateArrivals","AverageMinutesOf DelayPer DelayedGateArrival"
" PHL","01/20/2017","1","0","0","0","0.00","0.00","0","1","1","100.00","34.00"
" PHL","01/20/2017","2","0","2","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/20/2017","3","0","8","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","01/20/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","01/20/2017","5","7","7","0","0.00","0.00","1","4","2","50.00","20.50"
" PHL","01/20/2017","6","15","16","3","18.75","85.33","2","7","2","28.57","37.50"
" PHL","01/20/2017","7","15","16","1","6.25","19.00","43","44","4","9.09","25.25"
" PHL","01/20/2017","8","48","53","1","1.89","55.00","5","7","1","14.29","102.00"
" PHL","01/20/2017","9","14","15","2","13.33","36.50","41","43","2","4.65","33.50"
" PHL","01/20/2017","10","36","38","6","15.79","41.67","25","25","3","12.00","94.33"
" PHL","01/20/2017","11","38","40","4","10.00","27.00","12","13","2","15.38","62.50"
" PHL","01/20/2017","12","13","16","4","25.00","25.50","39","40","4","10.00","31.25"
" PHL","01/20/2017","13","40","42","5","11.90","30.40","14","15","2","13.33","23.50"
" PHL","01/20/2017","14","9","12","3","25.00","73.33","47","48","8","16.67","36.00"
" PHL","01/20/2017","15","41","43","11","25.58","64.09","19","19","2","10.53","21.00"
" PHL","01/20/2017","16","28","28","6","21.43","48.33","49","51","12","23.53","64.92"
" PHL","01/20/2017","17","36","36","8","22.22","34.75","36","39","4","10.26","30.25"
" PHL","01/20/2017","18","47","47","15","31.91","47.40","19","20","5","25.00","45.20"
" PHL","01/20/2017","19","6","6","0","0.00","0.00","54","53","7","13.21","40.14"
" PHL","01/20/2017","20","50","48","5","10.42","32.00","6","7","2","28.57","70.00"
" PHL","01/20/2017","21","6","8","3","37.50","49.67","10","12","1","8.33","29.00"
" PHL","01/20/2017","22","1","5","2","40.00","23.00","9","9","0","0.00","0.00"
" PHL","01/20/2017","23","0","1","0","0.00","0.00","12","12","0","0.00","0.00"
" PHL","01/21/2017","0","0","0","0","0.00","0.00","2","5","0","0.00","0.00"
" PHL","01/21/2017","4","0","0","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","01/21/2017","5","4","4","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","01/21/2017","6","16","16","0","0.00","0.00","2","4","1","25.00","17.00"
" PHL","01/21/2017","7","11","11","0","0.00","0.00","41","39","6","15.38","40.17"
" PHL","01/21/2017","8","47","50","5","10.00","102.20","2","3","0","0.00","0.00"
" PHL","01/21/2017","9","11","11","3","27.27","32.00","37","36","5","13.89","51.80"
" PHL","01/21/2017","10","33","34","5","14.71","53.40","22","24","4","16.67","85.75"
" PHL","01/21/2017","11","36","34","6","17.65","53.17","8","10","1","10.00","15.00"
" PHL","01/21/2017","12","9","11","3","27.27","32.33","10","10","1","10.00","22.00"
" PHL","01/21/2017","13","10","10","3","30.00","22.00","16","16","3","18.75","201.33"
" PHL","01/21/2017","14","8","8","2","25.00","48.50","47","46","16","34.78","37.19"
" PHL","01/21/2017","15","35","34","2","5.88","40.00","16","16","7","43.75","53.71"
" PHL","01/21/2017","16","19","18","2","11.11","31.50","47","45","18","40.00","44.94"
" PHL","01/21/2017","17","32","32","8","25.00","42.75","28","28","12","42.86","31.92"
" PHL","01/21/2017","18","42","40","9","22.50","36.44","14","18","9","50.00","61.89"
" PHL","01/21/2017","19","5","5","0","0.00","0.00","48","45","16","35.56","31.63"
" PHL","01/21/2017","20","40","31","3","9.68","21.33","5","5","0","0.00","0.00"
" PHL","01/21/2017","21","4","3","0","0.00","0.00","9","9","1","11.11","65.00"
" PHL","01/21/2017","22","1","1","0","0.00","0.00","9","9","1","11.11","16.00"
" PHL","01/21/2017","23","0","2","0","0.00","0.00","7","7","0","0.00","0.00"
" PHL","01/22/2017","0","0","1","0","0.00","0.00","4","4","1","25.00","34.00"
" PHL","01/22/2017","1","0","1","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/22/2017","4","0","0","0","0.00","0.00","1","0","0","0.00","0.00"
" PHL","01/22/2017","5","2","2","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","01/22/2017","6","13","13","1","7.69","32.00","3","4","0","0.00","0.00"
" PHL","01/22/2017","7","11","11","0","0.00","0.00","36","30","8","26.67","71.50"
" PHL","01/22/2017","8","48","48","5","10.42","52.40","1","2","2","100.00","70.50"
" PHL","01/22/2017","9","13","14","3","21.43","26.00","38","35","5","14.29","73.00"
" PHL","01/22/2017","10","36","38","5","13.16","55.80","16","18","2","11.11","31.00"
" PHL","01/22/2017","11","33","32","10","31.25","48.80","13","11","2","18.18","66.50"
" PHL","01/22/2017","12","11","11","3","27.27","91.33","34","33","6","18.18","37.00"
" PHL","01/22/2017","13","40","40","10","25.00","76.30","15","15","2","13.33","47.00"
" PHL","01/22/2017","14","10","12","1","8.33","36.00","49","49","23","46.94","46.78"
" PHL","01/22/2017","15","42","40","15","37.50","52.73","17","17","8","47.06","51.38"
" PHL","01/22/2017","16","28","29","15","51.72","32.00","49","48","28","58.33","55.04"
" PHL","01/22/2017","17","35","35","18","51.43","58.28","37","38","22","57.89","58.18"
" PHL","01/22/2017","18","46","46","20","43.48","52.55","19","17","10","58.82","71.30"
" PHL","01/22/2017","19","9","8","4","50.00","64.25","56","52","34","65.38","48.79"
" PHL","01/22/2017","20","51","46","18","39.13","51.28","5","5","2","40.00","105.00"
" PHL","01/22/2017","21","5","5","0","0.00","0.00","10","11","5","45.45","101.20"
" PHL","01/22/2017","22","1","2","1","50.00","45.00","10","8","3","37.50","106.67"
" PHL","01/22/2017","23","0","0","0","0.00","0.00","12","13","6","46.15","40.50"
" PHL","01/23/2017","0","0","0","0","0.00","0.00","5","4","1","25.00","79.00"
" PHL","01/23/2017","1","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/23/2017","2","0","0","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/23/2017","3","0","0","0","0.00","0.00","0","1","1","100.00","63.00"
" PHL","01/23/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","01/23/2017","5","7","6","0","0.00","0.00","1","2","1","50.00","47.00"
" PHL","01/23/2017","6","15","14","1","7.14","36.00","2","2","0","0.00","0.00"
" PHL","01/23/2017","7","15","14","3","21.43","23.00","43","36","13","36.11","56.46"
" PHL","01/23/2017","8","46","47","10","21.28","38.80","5","6","1","16.67","48.00"
" PHL","01/23/2017","9","14","13","3","23.08","59.33","41","39","15","38.46","62.47"
" PHL","01/23/2017","10","36","38","16","42.11","46.31","25","28","18","64.29","42.56"
" PHL","01/23/2017","11","38","37","15","40.54","44.47","12","16","13","81.25","46.15"
" PHL","01/23/2017","12","13","13","4","30.77","38.75","39","39","27","69.23","38.48"
" PHL","01/23/2017","13","40","38","22","57.89","46.18","14","15","12","80.00","44.08"
